,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
58,2022-02-28,83.79565531902395,57.005636047032695,140.66642765613418,83.79565531902395,83.79565531902395,14.245150676650685,14.245150676650685,14.245150676650685,1.1954079175019785,1.1954079175019785,1.1954079175019785,13.049742759148705,13.049742759148705,13.049742759148705,0.0,0.0,0.0,98.04080599567463
59,2022-03-01,83.75860361944598,48.016129115125054,133.71233964061375,83.75860361944598,83.75860361944598,7.730224050117035,7.730224050117035,7.730224050117035,-5.884970958472969,-5.884970958472969,-5.884970958472969,13.615195008590005,13.615195008590005,13.615195008590005,0.0,0.0,0.0,91.48882766956301
60,2022-03-02,83.72155191986799,59.82852200222865,145.40592877102904,83.72155191986799,83.72155191986799,20.003491999678506,20.003491999678506,20.003491999678506,6.05650369721506,6.05650369721506,6.05650369721506,13.946988302463446,13.946988302463446,13.946988302463446,0.0,0.0,0.0,103.7250439195465
61,2022-03-03,83.68450022029002,54.674921695155824,137.9538754944326,83.68450022029002,83.68450022029002,12.741977347455553,12.741977347455553,12.741977347455553,-1.3070456147666605,-1.3070456147666605,-1.3070456147666605,14.049022962222214,14.049022962222214,14.049022962222214,0.0,0.0,0.0,96.42647756774556
62,2022-03-04,83.64744852071205,51.652847459682036,136.39204254196721,83.64744852071205,83.64744852071205,9.552184719712091,9.552184719712091,9.552184719712091,-4.378812445789509,-4.378812445789509,-4.378812445789509,13.930997165501601,13.930997165501601,13.930997165501601,0.0,0.0,0.0,93.19963324042413
63,2022-03-05,83.61039682113407,55.809125326830504,138.00203136541376,83.61039682113407,83.61039682113407,14.028354144485291,14.028354144485291,14.028354144485291,0.42032225740648976,0.42032225740648976,0.42032225740648976,13.608031887078802,13.608031887078802,13.608031887078802,0.0,0.0,0.0,97.63875096561937
64,2022-03-06,83.5733451215561,61.614860477071645,143.49360849709234,83.5733451215561,83.5733451215561,16.998744878069697,16.998744878069697,16.998744878069697,3.898595146942839,3.898595146942839,3.898595146942839,13.10014973112686,13.10014973112686,13.10014973112686,0.0,0.0,0.0,100.5720899996258
65,2022-03-07,83.53629342197813,54.60822074915846,139.8980119304277,83.53629342197813,83.53629342197813,13.627031283505374,13.627031283505374,13.627031283505374,1.1954079174873113,1.1954079174873113,1.1954079174873113,12.431623366018064,12.431623366018064,12.431623366018064,0.0,0.0,0.0,97.1633247054835
66,2022-03-08,83.49924172240016,49.049035305076636,130.35556671709895,83.49924172240016,83.49924172240016,5.745241866353846,5.745241866353846,5.745241866353846,-5.884970958470254,-5.884970958470254,-5.884970958470254,11.630212824824099,11.630212824824099,11.630212824824099,0.0,0.0,0.0,89.24448358875401
67,2022-03-09,83.46219002282217,57.69220488213085,143.42286602337217,83.46219002282217,83.46219002282217,16.782817622532896,16.782817622532896,16.782817622532896,6.056503697200188,6.056503697200188,6.056503697200188,10.726313925332708,10.726313925332708,10.726313925332708,0.0,0.0,0.0,100.24500764535506
